id_mascota,nombre,especie,raza,edad_años,peso_kg,fecha_consulta,dueño_nombre,dueño_email,motivo_consulta,costo_consulta,mes_consulta,año_consulta,años_cliente,especie_Cat,especie_GATA,especie_GATO,especie_Loro,especie_PERRA,especie_PERRO,especie_Perro,especie_cat,especie_gata,especie_gato,especie_perra,especie_perro,especie_pez
37,Mimi,GATA,Doméstico,2.0,3.1,2024-05-18,Catalina Peña,mimi@hotmail.com,Esterilización,80000.0,5,2024,0.22,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Bolt,perro,Dálmata,1.0,20.8,2024-05-22,Nicolás Castro,bolt@gmail.com,Primera consulta,20000.0,5,2024,0.21,0,0,0,0,0,0,0,0,0,0,0,1,0
39,Cleo,perro,Dálmata,3.0,24.6,2024-05-30,Gabriela Núñez,cleo@gmail.com,Control rutinario,25000.0,5,2024,0.39,0,0,0,0,0,0,0,0,0,0,0,1,0
40,Mufasa,GATO,Maine Coon,5.0,7.3,2024-05-30,Victoria Rojas,mufasa@gmail.com,Revisión general,25000.0,5,2024,0.19,0,0,1,0,0,0,0,0,0,0,0,0,0
41,Fido,perro,Mestizo,4.0,15.2,2024-06-05,Pablo Herrera,fido@gmail.com,Vacunación,18000.0,6,2024,0.18,0,0,0,0,0,0,0,0,0,0,0,1,0
42,Luna,gato,Angora,5.0,4.8,2024-06-12,Claudia Vega,luna.vega@gmail.com,Revisión dental,35000.0,6,2024,1.05,0,0,0,0,0,0,0,0,0,1,0,0,0
43,Toto,perro,Schnauzer,3.0,8.9,2024-06-20,Ignacio Álvarez,toto@gmail.com,Desparasitación,15000.0,6,2024,0.13,0,0,0,0,0,0,0,0,0,0,0,1,0
44,Missy,gata,Persa,6.0,4.4,2024-06-28,Renata Molina,missy@gmail.com,Control rutinario,25000.0,6,2024,0.11,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Rex,perro,Pastor Alemán,7.0,350.0,2024-07-05,Carlos Muñoz,rex_owner@vet.com,Control anual,30000.0,7,2024,1.22,0,0,0,0,0,0,0,0,0,0,0,1,0
46,Paco,Loro,Cotorra,,0.15,2024-07-10,Eduardo Torres,paco@gmail.com,Revisión general,20000.0,7,2024,0.08,0,0,0,1,0,0,0,0,0,0,0,0,0
47,Canela,perra,Cocker Spaniel,4.0,13.7,2024-07-10,Paulina Romero,canela@mail.cl,Vacunación,18000.0,7,2024,0.08,0,0,0,0,0,0,0,0,0,0,1,0,0
48,Gohan,PERRO,Labrador,2.0,29.3,2024-07-22,Cristóbal Vera,gohan@gmail.com,Control rutinario,25000.0,7,2024,0.05,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Nala,gata,Doméstico,6.0,3.5,2024-07-30,Isabel Rojas,nala.rojas@gmail.com,Control post-op,30000.0,7,2024,0.93,0,0,0,0,0,0,0,0,1,0,0,0,0
50,Chispas,perro,Chihuahua,8.0,2.8,2024-08-08,Amanda Jiménez,chispas@gmail.com,Control geriátrico,40000.0,8,2024,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
